location_spot,tag_id,item_id,sensor_id
I8,RFID5100,G6800,BUT411
B3,RFID1860,G5958,BUT541
C6,RFID4226,G9949,BUT356
H2,RFID1853,G5813,BUT586
B5,RFID7330,G5394,BUT369
D9,RFID1268,G2217,BUT396
F2,RFID5334,G3499,BUT769
E7,RFID8361,G0042,BUT122
G2,RFID7009,G7313,BUT546
B2,RFID9184,G7478,BUT454
A8,RFID9985,G2876,BUT390
D9,RFID2426,G4801,BUT944
B9,RFID2673,G3821,BUT007
D3,RFID0664,G7854,BUT958
B8,RFID0520,G6411,BUT723
G7,RFID7468,G4781,BUT705
A9,RFID1687,G7809,BUT863
H4,RFID8525,G6911,BUT165
A7,RFID5914,G6579,BUT508
G5,RFID6615,G8893,BUT790
A8,RFID0695,G5019,BUT724
A7,RFID6500,G2801,BUT778
G4,RFID5935,G5854,BUT226
D4,RFID4035,G3784,BUT943
A3,RFID7929,G2299,BUT680
I6,RFID8356,G0897,BUT839
A1,RFID9789,G3321,BUT925
G4,RFID0924,G3186,BUT025
C1,RFID7695,G6817,BUT527
G6,RFID9317,G7702,BUT987
B9,RFID9715,G5850,BUT104
G6,RFID5071,G7440,BUT840
C8,RFID1404,G3765,BUT060
H2,RFID7353,G4766,BUT858
B4,RFID7410,G1538,BUT172
C1,RFID1614,G6256,BUT143
I9,RFID2995,G0787,BUT444
B3,RFID8475,G3285,BUT699
I1,RFID0038,G6696,BUT787
H4,RFID1936,G8376,BUT211
G9,RFID6869,G0226,BUT248
G6,RFID0139,G1183,BUT232
A8,RFID5249,G1787,BUT966
B5,RFID9200,G3834,BUT598
G2,RFID1722,G8567,BUT021
F4,RFID3927,G5413,BUT221
E3,RFID7987,G8067,BUT488
D2,RFID8266,G8455,BUT800
I6,RFID9871,G8417,BUT740
G8,RFID8639,G9062,BUT263
D7,RFID2032,G7990,BUT654
D6,RFID2523,G5313,BUT224
I7,RFID9370,G3122,BUT368
G5,RFID0521,G7359,BUT160
G7,RFID6245,G0873,BUT418
D4,RFID0474,G8011,BUT378
G5,RFID6009,G6153,BUT006
F4,RFID8046,G0654,BUT489
F2,RFID2424,G9027,BUT320
H7,RFID8379,G3912,BUT910
E5,RFID6685,G4979,BUT484
E1,RFID4796,G4990,BUT091
B6,RFID5064,G0344,BUT156
D9,RFID5832,G9919,BUT523
I1,RFID5726,G9043,BUT653
C4,RFID5072,G5254,BUT885
H8,RFID0891,G7371,BUT583
C9,RFID5107,G4249,BUT107
H9,RFID4287,G4438,BUT577
B6,RFID9853,G9616,BUT199
B8,RFID7078,G7644,BUT709
F9,RFID4637,G2618,BUT855
D4,RFID3235,G6861,BUT547
F2,RFID7794,G7459,BUT074
C8,RFID2055,G9836,BUT155
E2,RFID0468,G4200,BUT799
C5,RFID8656,G6744,BUT638
G9,RFID3747,G0969,BUT128
C2,RFID3029,G6790,BUT427
F8,RFID8136,G6266,BUT935
C5,RFID7657,G0502,BUT755
E4,RFID5559,G6328,BUT082
E7,RFID0467,G3229,BUT641
I4,RFID4245,G0703,BUT782
G9,RFID1054,G1178,BUT651
G7,RFID7910,G8508,BUT288
F6,RFID9397,G7557,BUT893
E8,RFID8460,G6902,BUT412
F7,RFID1074,G2433,BUT034
A9,RFID2772,G7216,BUT075
I2,RFID0127,G4890,BUT883
G4,RFID5451,G0819,BUT606
E4,RFID5716,G4208,BUT078
B1,RFID2270,G1205,BUT330
G1,RFID7676,G7029,BUT566
B7,RFID7966,G0347,BUT337
G1,RFID5398,G0346,BUT867
E9,RFID5355,G9452,BUT281
I4,RFID9325,G5589,BUT487
F7,RFID8401,G9147,BUT381
B9,RFID8077,G3571,BUT415
C9,RFID2080,G7644,BUT917
B6,RFID3632,G1836,BUT431
E6,RFID8125,G6382,BUT332
C6,RFID1214,G6478,BUT876
G7,RFID9488,G5890,BUT548
G8,RFID6895,G3675,BUT058
F4,RFID3613,G0584,BUT681
I7,RFID0078,G7383,BUT238
B5,RFID0657,G1672,BUT515
A3,RFID7706,G5196,BUT051
A9,RFID7627,G7037,BUT019
A4,RFID3818,G3578,BUT196
G5,RFID4966,G2653,BUT793
E9,RFID5339,G9630,BUT632
H9,RFID5482,G7967,BUT563
E6,RFID6194,G6862,BUT449
F1,RFID4349,G5519,BUT237
H5,RFID8797,G6655,BUT592
F1,RFID5915,G8684,BUT976
C7,RFID8627,G6323,BUT131
C1,RFID6789,G8297,BUT718
E5,RFID2063,G2070,BUT118
H9,RFID2390,G7146,BUT398
G5,RFID6910,G1039,BUT688
C3,RFID9276,G4087,BUT582
G3,RFID2074,G6475,BUT038
I6,RFID9749,G3567,BUT453
D3,RFID6844,G9876,BUT098
A6,RFID8439,G5522,BUT092
C4,RFID1535,G9986,BUT977
H5,RFID1419,G5003,BUT240
H1,RFID3215,G1208,BUT981
A1,RFID1472,G0262,BUT921
C2,RFID4204,G2176,BUT837
I9,RFID3126,G2089,BUT776
D9,RFID9492,G8126,BUT442
D8,RFID3000,G3226,BUT630
C4,RFID3651,G0422,BUT747
E5,RFID2749,G1912,BUT113
A9,RFID8699,G1127,BUT284
A2,RFID4381,G2111,BUT861
D2,RFID0803,G3483,BUT277
G6,RFID3909,G4906,BUT225
E6,RFID9891,G4746,BUT111
E1,RFID7265,G9286,BUT476
F5,RFID2327,G1649,BUT780
G2,RFID5648,G8152,BUT886
E8,RFID9309,G8033,BUT436
C3,RFID8321,G1938,BUT542
I2,RFID0946,G5266,BUT859
A1,RFID3855,G8429,BUT687
G9,RFID8283,G2711,BUT662
B5,RFID6748,G5661,BUT179
G3,RFID2503,G5625,BUT678
B7,RFID4359,G0915,BUT303
E1,RFID7858,G9281,BUT888
E3,RFID0549,G6420,BUT985
D5,RFID3168,G1505,BUT072
E8,RFID7732,G9844,BUT768
A3,RFID9154,G2560,BUT503
F3,RFID6803,G1203,BUT326
F4,RFID0918,G5177,BUT639
A7,RFID1941,G5834,BUT908
F1,RFID7061,G8881,BUT970
G2,RFID1378,G3807,BUT873
D2,RFID2696,G4162,BUT533
F3,RFID7848,G5716,BUT162
I9,RFID1128,G5053,BUT458
F5,RFID1382,G3615,BUT865
A8,RFID2949,G1162,BUT033
C9,RFID0441,G4194,BUT440
H6,RFID5047,G3653,BUT393
I3,RFID0843,G3411,BUT906
F1,RFID8939,G3895,BUT951
E9,RFID1883,G5883,BUT822
I2,RFID0382,G4563,BUT157
A2,RFID5098,G1304,BUT141
G6,RFID1280,G0907,BUT945
B3,RFID5903,G2761,BUT660
E6,RFID4515,G1458,BUT097
F1,RFID9728,G2727,BUT517
B4,RFID8484,G6253,BUT067
I8,RFID9438,G9014,BUT622
F3,RFID3123,G0569,BUT420
A4,RFID3377,G5810,BUT279
G4,RFID0342,G3964,BUT446
F7,RFID3679,G8511,BUT693
C5,RFID6080,G7020,BUT422
I4,RFID8117,G4540,BUT375
C3,RFID9989,G1703,BUT133
E2,RFID2283,G9273,BUT967
G9,RFID7795,G4036,BUT289
H7,RFID5662,G9312,BUT700
D3,RFID1300,G8545,BUT293
E3,RFID6927,G0595,BUT711
C8,RFID5266,G8450,BUT100
C2,RFID6220,G0076,BUT246
I1,RFID1341,G9114,BUT804
F8,RFID7745,G7001,BUT971
H8,RFID9463,G5411,BUT137
B2,RFID1561,G5202,BUT421
H4,RFID9895,G0804,BUT916
H1,RFID6838,G2850,BUT514
H6,RFID4097,G7749,BUT480
B2,RFID1330,G0562,BUT132
G3,RFID8275,G7992,BUT640
C7,RFID0237,G5209,BUT667
H9,RFID4139,G7939,BUT872
H6,RFID4333,G2519,BUT173
F4,RFID4756,G0344,BUT684
H2,RFID4616,G6616,BUT760
H8,RFID9398,G5515,BUT354
A3,RFID9216,G0625,BUT108
D1,RFID4653,G8033,BUT206
F8,RFID1370,G2913,BUT643
C2,RFID3714,G9571,BUT212
E4,RFID1150,G0633,BUT479
A6,RFID2003,G9354,BUT534
A1,RFID1805,G9304,BUT604
D5,RFID5893,G3785,BUT900
F3,RFID3968,G0537,BUT646
F9,RFID6702,G9876,BUT365
C7,RFID1619,G9894,BUT500
F9,RFID3252,G4776,BUT262
A3,RFID3740,G7773,BUT085
C9,RFID0770,G5347,BUT965
H1,RFID3039,G4404,BUT099
B2,RFID0147,G0683,BUT065
D5,RFID1391,G6855,BUT197
I8,RFID3322,M703,BUT475
G2,RFID2773,M187,BUT531
I9,RFID6186,M909,BUT510
A4,RFID7405,M819,BUT920
I3,RFID5486,M035,BUT960
I7,RFID1947,M724,BUT736
D1,RFID8081,M586,BUT559
D2,RFID4521,M703,BUT037
H8,RFID1649,M400,BUT343
E9,RFID9736,M044,BUT851
B9,RFID4243,M146,BUT963
F9,RFID7438,M503,BUT464
F3,RFID6996,M484,BUT423
I7,RFID3765,M528,BUT623
F2,RFID1920,M123,BUT877
D6,RFID8385,M850,BUT403
B8,RFID7034,M193,BUT316
F8,RFID3684,M764,BUT103
C2,RFID8901,M534,BUT594
E2,RFID9036,M135,BUT753
H2,RFID6799,M521,BUT251
D3,RFID4134,M266,BUT528
E7,RFID8478,M585,BUT767
D6,RFID5140,M745,BUT187
C6,RFID6162,M047,BUT948
E4,RFID5715,M442,BUT474
H6,RFID0539,M108,BUT229
G4,RFID8276,M062,BUT053
C9,RFID0977,M162,BUT059
A5,RFID9631,M056,BUT016
H4,RFID2670,M653,BUT180
C3,RFID3259,M774,BUT146
D8,RFID1029,M154,BUT955
H3,RFID9368,M770,BUT624
D7,RFID8596,M616,BUT371
E2,RFID7953,M056,BUT980
D5,RFID4718,M337,BUT194
B4,RFID8933,M827,BUT959
C5,RFID1213,M288,BUT022
B4,RFID2286,M507,BUT265
E5,RFID0521,M294,BUT612
G1,RFID0933,M181,BUT414
G8,RFID1892,M007,BUT278
G8,RFID5860,M955,BUT353
E2,RFID5051,M646,BUT716
I5,RFID0534,M106,BUT190
H7,RFID3293,M053,BUT587
D5,RFID0565,M395,BUT244
F7,RFID6570,M977,BUT516
B1,RFID1072,M511,BUT857
C4,RFID2701,M475,BUT725
F2,RFID3229,M051,BUT645
A8,RFID8416,M715,BUT210
I5,RFID2068,M527,BUT382
B1,RFID3336,M131,BUT907
E3,RFID6176,M043,BUT550
E9,RFID9058,M171,BUT134
B2,RFID1297,M579,BUT751
I1,RFID2825,M664,BUT271
E8,RFID1368,M229,BUT950
E8,RFID8188,M186,BUT079
B4,RFID6926,M484,BUT189
C6,RFID1180,M697,BUT012
E5,RFID7177,M860,BUT937
D8,RFID5407,M699,BUT460
C7,RFID0969,M052,BUT063
E7,RFID7610,M761,BUT250
D6,RFID3423,M813,BUT953
D8,RFID9351,M240,BUT507
A5,RFID7143,M889,BUT014
H5,RFID6004,M585,BUT000
H5,RFID8341,M226,BUT419
I1,RFID9267,M304,BUT164
D7,RFID7696,M981,BUT361
D1,RFID9880,M893,BUT530
A9,RFID3284,M527,BUT802
F6,RFID9045,M925,BUT471
D7,RFID8179,M877,BUT372
I5,RFID3372,M158,BUT432
I3,RFID8192,M079,BUT813
A2,RFID0638,M876,BUT088
A2,RFID6688,M262,BUT192
H3,RFID2017,M107,BUT773
B7,RFID8445,M924,BUT127
H5,RFID9673,M134,BUT703
A7,RFID5139,M087,BUT109
F9,RFID6443,M902,BUT433
H2,RFID8823,M318,BUT230
A4,RFID3272,M943,BUT135
E3,RFID9965,M520,BUT918
F6,RFID8586,M997,BUT996
F7,RFID8854,M394,BUT344
B3,RFID5281,M236,BUT384
D3,RFID4257,M320,BUT673
H3,RFID3092,M401,BUT333
B7,RFID1589,M033,BUT682
D9,RFID8828,M619,BUT323
G7,RFID6471,M013,BUT335
D2,RFID2005,M541,BUT175
H7,RFID8985,M434,BUT834
B7,RFID8469,M406,BUT083
D6,RFID0053,M427,BUT771
G3,RFID4212,M828,BUT028
G1,RFID3384,M232,BUT827
C4,RFID6581,M748,BUT894
I2,RFID9113,M776,BUT461
H1,RFID5406,M834,BUT313
E1,RFID9236,M738,BUT050
A2,RFID7190,M419,BUT691
A6,RFID3756,M383,BUT675
B5,RFID3808,M729,BUT538
D4,RFID1513,M578,BUT447
G1,RFID4072,M163,BUT452
H3,RFID7188,M564,BUT789
G8,RFID5739,M197,BUT299
B1,RFID0399,M788,BUT993
B6,RFID6724,M616,BUT579
F5,RFID3353,M517,BUT039
A5,RFID0754,M334,BUT829
H7,RFID1730,M151,BUT762
F5,RFID5197,M175,BUT417
F6,RFID1204,M102,BUT504
F8,RFID9364,M305,BUT904
B9,RFID0481,M582,BUT785
D7,RFID1337,M862,BUT749
C1,RFID5174,M367,BUT930
I8,RFID7359,M105,BUT540
B8,RFID2176,M850,BUT826
I3,RFID8516,M035,BUT472
B3,RFID4089,M279,BUT204
I4,RFID3292,M446,BUT470
D1,RFID3506,M912,BUT374
E4,RFID1147,M884,BUT544
A1,RFID0767,M165,BUT808
I6,RFID9141,M967,BUT820
H3,RFID5716,M022,BUT919
H1,RFID6235,M041,BUT962
A7,RFID6701,M512,BUT202
C1,RFID9520,M762,BUT307
F6,RFID6758,M355,BUT511
A5,RFID1840,M135,BUT121
G3,RFID7521,M086,BUT655
F5,RFID2748,M885,BUT997
H9,RFID2906,M288,BUT824
C3,RFID4440,M912,BUT373
H6,RFID2741,M792,BUT129
B1,RFID9491,M333,BUT376
D4,RFID9304,M443,BUT690
C6,RFID2205,M054,BUT124
E1,RFID1848,M960,BUT706
I5,RFID4960,M495,BUT735
A6,RFID2768,M906,BUT553
B8,RFID4887,M008,BUT249
B6,RFID3416,M963,BUT956
A5,RFID0927,M051,BUT761
A6,RFID4118,M828,BUT379
D1,RFID8053,M389,BUT658
A4,RFID6610,M989,BUT142
C8,RFID6874,M007,BUT001
H8,RFID4501,M840,BUT841
C5,RFID0090,M377,BUT961
E7,RFID0217,M669,BUT045
D8,RFID0455,M401,BUT494
C7,RFID3836,M146,BUT084
E6,RFID7970,M278,BUT445
H4,RFID1816,M310,BUT926